                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.45422,                 3.8485,                0.83259,                0.00381,                0.95586,                0.33369,                0.30165,                0.36758,                 3.8564,                0.76136,             0.00011432,             0.00011432,             0.00011432
                      2,                0.46087,                 2.2054,                0.79604,                0.00419,                      1,                  0.539,                0.45032,                0.46136,                 3.5736,                0.75083,             0.00023812,             0.00023812,             0.00023812
                      3,                0.39825,                 1.3805,                0.80505,                0.00428,                      1,                0.54636,                0.43647,                0.41231,                 3.5069,                0.77181,             0.00035683,             0.00035683,             0.00035683
                      4,                0.42361,                 1.1135,                0.81167,                0.00393,                0.94203,                0.37151,                0.32472,                0.37269,                 3.6338,                0.80194,             0.00047044,             0.00047044,             0.00047044
                      5,                0.41641,                 1.0347,                0.80827,                0.00405,                0.98551,                0.52649,                0.49329,                0.41674,                 3.6202,                0.81182,             0.00057896,             0.00057896,             0.00057896
                      6,                0.39697,                0.97917,                0.80142,                      1,                 0.1048,                0.58696,                0.55726,                 0.4035,                 3.2363,                0.80682,             0.00068239,             0.00068239,             0.00068239
                      7,                0.39825,                0.96911,                0.81651,                      1,                0.37154,                0.65897,                 0.6237,                0.38073,                 3.1157,                0.81119,             0.00078073,             0.00078073,             0.00078073
                      8,                0.42723,                  1.016,                0.82857,                      1,                0.29525,                0.65812,                 0.6065,                0.46471,                 2.9305,                 0.8178,             0.00087397,             0.00087397,             0.00087397
                      9,                0.41158,                0.97508,                0.81549,                0.98322,                0.53194,                0.64957,                0.60093,                0.41899,                 2.4259,                0.81185,             0.00096212,             0.00096212,             0.00096212
                     10,                0.42612,                0.90131,                0.81583,                 0.9853,                0.64233,                0.65478,                0.61371,                0.39014,                 2.0829,                0.80924,              0.0010452,              0.0010452,              0.0010452
